Date,Open,High,Low,Close,Adj Close,Volume
2018-04-20,2692.560059,2693.939941,2660.610107,2670.139893,2670.139893,3388590000
2018-04-23,2675.399902,2682.860107,2657.98999,2670.290039,2670.290039,3017480000
2018-04-24,2680.800049,2683.550049,2617.320068,2634.560059,2634.560059,3706740000
2018-04-25,2634.919922,2645.300049,2612.669922,2639.399902,2639.399902,3499440000
2018-04-26,2651.649902,2676.47998,2647.159912,2666.939941,2666.939941,3665720000
2018-04-27,2675.469971,2677.350098,2659.01001,2669.909912,2669.909912,3219030000
2018-04-30,2682.51001,2682.870117,2648.040039,2648.050049,2648.050049,3734530000
2018-05-01,2642.959961,2655.27002,2625.409912,2654.800049,2654.800049,3559850000
2018-05-02,2654.23999,2660.870117,2631.699951,2635.669922,2635.669922,4010770000
2018-05-03,2628.080078,2637.139893,2594.620117,2629.72998,2629.72998,3851470000
2018-05-04,2621.449951,2670.929932,2615.320068,2663.419922,2663.419922,3327220000
2018-05-07,2680.340088,2683.350098,2664.699951,2672.629883,2672.629883,3237960000
2018-05-08,2670.26001,2676.340088,2655.199951,2671.919922,2671.919922,3717570000
2018-05-09,2678.120117,2701.27002,2674.139893,2697.790039,2697.790039,3909500000
2018-05-10,2705.02002,2726.110107,2704.540039,2723.070068,2723.070068,3333050000
2018-05-11,2722.699951,2732.860107,2717.449951,2727.719971,2727.719971,2862700000
2018-05-14,2738.469971,2742.100098,2725.469971,2730.129883,2730.129883,2972660000
2018-05-15,2718.590088,2718.590088,2701.909912,2711.449951,2711.449951,3290680000
2018-05-16,2712.620117,2727.76001,2712.169922,2722.459961,2722.459961,3202670000
2018-05-17,2719.709961,2731.959961,2711.360107,2720.129883,2720.129883,3475400000
2018-05-18,2717.350098,2719.5,2709.179932,2712.969971,2712.969971,3368690000
2018-05-21,2735.389893,2739.189941,2725.699951,2733.01001,2733.01001,3019890000
2018-05-22,2738.340088,2742.23999,2721.879883,2724.439941,2724.439941,3366310000
2018-05-23,2713.97998,2733.330078,2709.540039,2733.290039,2733.290039,3326290000
2018-05-24,2730.939941,2731.969971,2707.379883,2727.76001,2727.76001,3256030000
2018-05-25,2723.600098,2727.360107,2714.98999,2721.330078,2721.330078,2995260000
2018-05-29,2705.110107,2710.669922,2676.810059,2689.860107,2689.860107,3736890000
2018-05-30,2702.429932,2729.340088,2702.429932,2724.01001,2724.01001,3561050000
2018-05-31,2720.97998,2722.5,2700.679932,2705.27002,2705.27002,4235370000
2018-06-01,2718.699951,2736.929932,2718.699951,2734.620117,2734.620117,3684130000
2018-06-04,2741.669922,2749.159912,2740.540039,2746.870117,2746.870117,3376510000
2018-06-05,2748.459961,2752.610107,2739.51001,2748.800049,2748.800049,3517790000
2018-06-06,2753.25,2772.389893,2748.459961,2772.350098,2772.350098,3651640000
